created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Sep 22 16:01:41 +0000 2023;1705251025089876164;"@ariefbudiawan7 @yunartowijaya Pendukung prabowo kok g0bl0k ya?.. Lha wong elektabilitasnya paling tinggi kok diganti?? Otakmu somplak??... 🤣🤣🤣🤣🤣 https://t.co/GcISXaFVFU";0;0;0;2;in;1607378277014065154;1705236589474128288;ChallsOfrivia;https://twitter.com/ChallsOfrivia/status/1705251025089876164
Fri Sep 22 15:02:48 +0000 2023;1705236206924210520;"Wuih Partai Demokrat dukung Prabowo nih! @GheaJhanaLie7 https://t.co/iRN1uIXhit";0;0;0;0;in;1676514820802379776;1705236206924210520;sawensunbono;https://twitter.com/sawensunbono/status/1705236206924210520
Fri Sep 22 14:58:06 +0000 2023;1705235025791427010;"Gini ya pak tua, pak Prabowo bilangnya sesuai konteks seperti yang dibilang buzzer recehmu. Bertemu di ratas kabinet. Ingat pak tua jangan ngamuk ya";1;0;0;1;in;2290227306;1705235025791427010;majeliskopi08;https://twitter.com/majeliskopi08/status/1705235025791427010
Fri Sep 22 14:57:56 +0000 2023;1705234983596789908;"@kesiragerindra Semangat pak Prabowo, walaupun di fitnah , DIKHIANATI dan dibohongin...kami tetap mendukung pak Prabowo jadi Presiden NKRI.";0;0;0;0;in;1665608571210571778;1705105988377039100;rendipad;https://twitter.com/rendipad/status/1705234983596789908
Fri Sep 22 14:56:25 +0000 2023;1705234600338051166;"Manteeep! Gabungan kuat nih Demokrat sama Prabowo. @HotelBrongto https://t.co/u5Lpm1UGXy";0;0;0;0;in;1676803031701282822;1705234600338051166;nnmaisaroh;https://twitter.com/nnmaisaroh/status/1705234600338051166
Fri Sep 22 14:52:44 +0000 2023;1705233675699605559;"@akupadi5 @PDI_Perjuangan Sprti keinginan pak @jokowi ,membangun silaturahmi kmbli mega prabowo yg sempat kusut,dan pencapresan @ganjarpranowo hnya tertunda paling lama hnya 5 thn";0;0;0;0;in;108182215;1705192954003116423;indrahwk;https://twitter.com/indrahwk/status/1705233675699605559
Fri Sep 22 14:46:14 +0000 2023;1705232040982151370;"@kesiragerindra Next Presiden Indonesia 2024 Bapak Prabowo";0;0;0;0;in;1640278396285620224;1705105988377039100;JumilahRahu08;https://twitter.com/JumilahRahu08/status/1705232040982151370
Fri Sep 22 14:44:56 +0000 2023;1705231713566404732;"@BosPurwa @prabowo @jokowi Yang paling gampang si kasih tugas nanem jagung aja nggak dilakukan kok mau bangun kilang minyak";0;0;1;4;in;361120835;1705098606091608452;yonifree;https://twitter.com/yonifree/status/1705231713566404732
Fri Sep 22 14:44:08 +0000 2023;1705231510142620041;"apakah ini waktunya memilih prabowo";0;0;0;0;in;1324831587788234753;1705231510142620041;radikaisme;https://twitter.com/radikaisme/status/1705231510142620041
Fri Sep 22 14:36:51 +0000 2023;1705229679559680434;"@dpcdemokrat_s @AgusYudhoyono @PDemokrat @prabowo Dati koalisi perubahan jd koalisi berkelanjutan..🤣🤭";0;1;0;1;in;1607359469318725633;1705130564737736857;LuckyLudjaina;https://twitter.com/LuckyLudjaina/status/1705229679559680434
Fri Sep 22 14:32:53 +0000 2023;1705228678945526078;"keren deh pak prabowo dan pak sby, jadi idola baru nih @IdeBagus_store https://t.co/StHxcbo7zd";0;0;0;1;in;1675442918558154752;1705228678945526078;dian_katriya;https://twitter.com/dian_katriya/status/1705228678945526078
Fri Sep 22 14:31:09 +0000 2023;1705228241613807873;"@PresidenKopi @prabowo @Gerindra Moeldoko kan KSP artinya dia kan representasi lembaga kepresidenan @jokowi yg di puja @prabowo bang 😬";0;0;0;0;in;44966317;1705111468012888218;HardimasHP;https://twitter.com/HardimasHP/status/1705228241613807873
Fri Sep 22 14:30:04 +0000 2023;1705227970204606813;"@PresidenKopi Ayok @prabowo suruh ngomong 😬 abang comment gini tapi @prabowo @Gerindra ikut Jokowi apa nd ruwet bang logikanya?";0;1;0;0;in;44966317;1705111468012888218;HardimasHP;https://twitter.com/HardimasHP/status/1705227970204606813
Fri Sep 22 14:21:32 +0000 2023;1705225823861764192;"@panca66 @gm_gm Pak SBY pun memuji habis2 an dgn kegigihan,keteguhan,wawasan yg hampir komplit,termasuk geopolitik &amp  perekonomian global maupun dalam negeri.Almost everything,kata Pak SBY. Lanjutkan Jendral @prabowo  💪 #PrabowoUntukSemua";0;0;0;1;in;1625830843251056641;1705217522528903409;njsusilo;https://twitter.com/njsusilo/status/1705225823861764192
Fri Sep 22 14:00:06 +0000 2023;1705220430788001897;"Demokrat Jakarta All Out Bersama Prabowo Di Pilpres 2024  #DemokratBersamaPrabowo #DemokratJakartaSiapMenang";0;0;1;0;in;4905065480;1705220430788001897;achmadubaidil13;https://twitter.com/achmadubaidil13/status/1705220430788001897
Fri Sep 22 13:49:33 +0000 2023;1705217772589080639;"Partai Demokrat akhirnya resmi pindah ke lain hati, dukung Prabowo Subianto jadi Capres  https://t.co/bRewp4QPtR";0;0;0;0;in;1535545262;1705217772589080639;pakpooh_aan;https://twitter.com/pakpooh_aan/status/1705217772589080639
Fri Sep 22 13:40:07 +0000 2023;1705215400714322023;"@Gus_Raharjo @jokowi Yuk mas @gibran_tweet  jadi cawapres pak Prabowo..  Saya tetap maju mendukung pak @ganjarpranowo  🤟🤟";0;0;2;19;in;1081205704898179073;1705157051490746504;ahmad_bellamy;https://twitter.com/ahmad_bellamy/status/1705215400714322023
Fri Sep 22 13:29:37 +0000 2023;1705212759624011816;"Prabowo ambek anis umpomo neng warung mbayari kopine wong2 to gak?";0;0;0;0;in;1518237084;1705212759624011816;MMunirfm;https://twitter.com/MMunirfm/status/1705212759624011816
