created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Sep 21 01:15:12 +0000 2023;1704665546317611010;"Dari acara Najwa: - Pendukung Anies bilang penampilan Anies paling bagus. - Pendukung Ganjar bilang penampilan Ganjar paling bagus. - Pendukung Prabowo bilang penampulan Prabowo paling bagus.  Pendukung tak berubah. Yang kemungkinan berubah adalah swing voter. Saya salah satunya.";20;148;149;913;in;185156524;1704665546317611010;hasyimmah;https://twitter.com/hasyimmah/status/1704665546317611010
Tue Sep 19 22:44:01 +0000 2023;1704265114441130439;"Saya terus terang paling suka dan merasa terhibur saat lihat aksi pak Prabowo kalau habis menjawab pertanyaan lalu berjoget. Kesannya bagaimana gitu lho 😁";1;34;29;216;in;201554665;1704265114441130439;henrysubiakto;https://twitter.com/henrysubiakto/status/1704265114441130439
Mon Jun 26 11:00:50 +0000 2023;1673285181673988099;"Semakin tak terkejar, selisihnya sudah lebih 2 kali lipat MoE 2,83%  Prabowo 40,5% Ganjar 33,4% Anies 20,8% Undecided 5%  PWS prediksi 2 putaran, saya prediksi 1 putaran.  #Prabowo #2024PrabowoPresiden #PrabowoUntukIndonesia";3;12;17;39;in;1015531697226444800;1673285181673988099;KhoirilAnwar_;https://twitter.com/KhoirilAnwar_/status/1673285181673988099
